epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2937,1.56905,3.15601,1.73052,0.77723,0.02357,0.29397,0.11659,1.88329,3.18458,2.40813,0.000467827,0.000467827,0.000467827
2,45.3812,1.7194,2.77831,1.8288,0.3988,0.04545,0.03271,0.00836,2.87095,3.69582,3.07868,0.000925466,0.000925466,0.000925466
3,63.397,1.78105,2.76313,1.86653,0.44731,0.10866,0.09786,0.02672,2.77772,4.03706,3.31463,0.00136424,0.00136424,0.00136424
4,82.2383,1.83389,2.65304,1.8837,0.08063,0.17803,0.07057,0.02868,2.44134,6.06117,2.85754,0.00134412,0.00134412,0.00134412
5,99.9623,1.82022,2.54199,1.87349,0.17185,0.46882,0.17942,0.0776,2.05068,3.80671,2.35852,0.00131582,0.00131582,0.00131582
6,117.859,1.75543,2.47627,1.85648,0.29453,0.34058,0.23622,0.10159,2.39091,3.5053,2.58631,0.00128753,0.00128753,0.00128753
7,136.256,1.73002,2.36551,1.81185,0.23474,0.33458,0.27501,0.12386,2.0053,2.48844,2.51617,0.00125923,0.00125923,0.00125923
8,154.145,1.7962,2.3522,1.8589,0.18081,0.43262,0.1626,0.06811,2.0484,2.8582,2.31837,0.00123094,0.00123094,0.00123094
9,172.749,1.72741,2.27063,1.81041,0.34353,0.41948,0.37006,0.16003,1.80921,2.25076,2.13588,0.00120265,0.00120265,0.00120265
10,190.603,1.7088,2.21256,1.79995,0.44384,0.40011,0.36288,0.18442,1.97918,2.20607,2.2578,0.00117435,0.00117435,0.00117435
11,208.467,1.68341,2.16686,1.74666,0.48665,0.5979,0.53957,0.26942,1.86562,1.94529,2.23948,0.00114606,0.00114606,0.00114606
12,227.119,1.64233,2.09128,1.72576,0.50044,0.48813,0.4932,0.24193,1.8936,1.94522,2.17088,0.00111776,0.00111776,0.00111776
13,245.325,1.62711,2.0591,1.70585,0.46869,0.58592,0.5109,0.27342,1.6888,2.01608,2.03484,0.00108947,0.00108947,0.00108947
14,264.205,1.61388,2.0381,1.70315,0.53173,0.55813,0.56699,0.27739,1.70146,1.84151,2.01585,0.00106118,0.00106118,0.00106118
15,282.078,1.61239,1.99629,1.7156,0.51325,0.4587,0.53381,0.26058,1.75412,1.97162,2.01791,0.00103288,0.00103288,0.00103288
16,299.835,1.6004,1.94232,1.68507,0.65979,0.58113,0.64734,0.33268,1.67852,1.66649,1.95977,0.00100459,0.00100459,0.00100459
17,318.155,1.58428,1.90363,1.66106,0.43107,0.50555,0.40933,0.18656,1.80619,2.28401,2.16672,0.000976293,0.000976293,0.000976293
18,335.843,1.54355,1.87313,1.645,0.50624,0.72118,0.59013,0.28733,1.68918,1.61589,1.96458,0.000947999,0.000947999,0.000947999
19,354.768,1.59386,1.81822,1.66256,0.59524,0.57138,0.60857,0.30294,1.74635,1.63859,1.97499,0.000919704,0.000919704,0.000919704
20,372.194,1.5524,1.85238,1.64426,0.6516,0.70948,0.72154,0.38653,1.58615,1.58632,1.90154,0.00089141,0.00089141,0.00089141
21,389.816,1.5377,1.79841,1.63658,0.5706,0.62251,0.62944,0.30289,1.75751,1.87556,1.96643,0.000863116,0.000863116,0.000863116
22,408.576,1.52114,1.78984,1.63199,0.44925,0.67793,0.57346,0.28041,1.7524,1.716,2.01378,0.000834822,0.000834822,0.000834822
23,426.753,1.52727,1.75655,1.6179,0.66975,0.68035,0.7513,0.38232,1.64732,1.42076,1.95299,0.000806528,0.000806528,0.000806528
24,445.616,1.53876,1.75454,1.63959,0.50581,0.59845,0.57038,0.30621,1.65296,1.66866,1.95378,0.000778233,0.000778233,0.000778233
25,463.405,1.49734,1.78188,1.62048,0.63977,0.55771,0.64614,0.36212,1.59302,1.65363,1.90538,0.000749939,0.000749939,0.000749939
26,481.358,1.49075,1.72643,1.59984,0.82676,0.65741,0.75167,0.40095,1.69507,1.41208,1.95233,0.000721645,0.000721645,0.000721645
