epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4668,1.54483,3.03035,1.68714,0.00718,0.95475,0.29864,0.13097,1.65067,3.09401,2.09558,0.000467977,0.000467977,0.000467977
2,46.24,1.70642,2.74729,1.80759,0.82489,0.20175,0.26547,0.1002,2.31625,3.4027,3.01206,0.000925613,0.000925613,0.000925613
3,64.4342,1.74403,2.65366,1.82243,0.42597,0.33362,0.30582,0.12996,2.0995,3.23536,2.69212,0.00136439,0.00136439,0.00136439
4,83.5679,1.71481,2.5189,1.79962,0.1138,0.20171,0.07971,0.02707,2.83606,3.40233,3.46394,0.00134412,0.00134412,0.00134412
5,102.016,1.77117,2.50642,1.83891,0.22529,0.13263,0.11485,0.03998,2.41616,3.76896,2.90041,0.00131582,0.00131582,0.00131582
6,119.961,1.72775,2.39071,1.81982,0.29974,0.35075,0.2537,0.10589,2.03474,2.36225,2.32177,0.00128753,0.00128753,0.00128753
7,138.774,1.70867,2.34342,1.81086,0.25771,0.40435,0.28771,0.12744,2.09966,2.8436,2.46235,0.00125923,0.00125923,0.00125923
8,156.768,1.72317,2.28524,1.77579,0.35696,0.42347,0.35683,0.1601,1.85969,2.4257,2.22906,0.00123094,0.00123094,0.00123094
9,175.693,1.64788,2.13012,1.71907,0.29282,0.35824,0.37212,0.1617,1.89711,2.22073,2.27152,0.00120265,0.00120265,0.00120265
10,193.322,1.63584,2.09188,1.71441,0.49686,0.49446,0.48201,0.2127,1.90541,1.92669,2.1356,0.00117435,0.00117435,0.00117435
11,211.939,1.61919,2.02511,1.70109,0.47131,0.46374,0.49168,0.23185,1.74127,1.98082,2.09424,0.00114606,0.00114606,0.00114606
12,230.124,1.5895,2.03986,1.68507,0.43499,0.4514,0.45578,0.19121,1.92763,2.34367,2.33228,0.00111776,0.00111776,0.00111776
13,248.082,1.61563,1.99988,1.68973,0.38013,0.57046,0.46637,0.1903,1.88257,2.00744,2.2229,0.00108947,0.00108947,0.00108947
14,267.315,1.60403,1.94962,1.69265,0.49474,0.45498,0.47826,0.22487,1.82886,1.91543,2.10007,0.00106118,0.00106118,0.00106118
15,285.204,1.56696,1.9132,1.65465,0.46998,0.4812,0.46443,0.20576,1.96278,2.01855,2.2267,0.00103288,0.00103288,0.00103288
16,304.058,1.56576,1.87795,1.66677,0.55055,0.55071,0.52667,0.2461,1.95559,1.83352,2.18817,0.00100459,0.00100459,0.00100459
17,321.76,1.55252,1.84565,1.65491,0.68268,0.46999,0.54426,0.24566,1.7799,1.76087,2.07954,0.000976293,0.000976293,0.000976293
18,340.155,1.52976,1.81763,1.63332,0.63439,0.49016,0.61296,0.29737,1.72332,1.53265,1.99515,0.000947999,0.000947999,0.000947999
19,358.186,1.51815,1.77081,1.6167,0.56615,0.6112,0.60976,0.3261,1.66272,1.70146,1.97963,0.000919704,0.000919704,0.000919704
20,375.797,1.50805,1.71956,1.60728,0.59538,0.62362,0.673,0.32045,1.78248,1.55364,2.01412,0.00089141,0.00089141,0.00089141
21,394.818,1.48453,1.70809,1.60301,0.58862,0.56819,0.64864,0.32019,1.76081,1.55659,1.99068,0.000863116,0.000863116,0.000863116
22,412.624,1.47194,1.68431,1.59122,0.63745,0.58763,0.60794,0.30226,1.7004,1.64011,2.00159,0.000834822,0.000834822,0.000834822
23,431.125,1.45112,1.61116,1.57086,0.65974,0.70706,0.71468,0.37851,1.70956,1.36479,1.96757,0.000806528,0.000806528,0.000806528
24,448.967,1.42875,1.61305,1.57121,0.7068,0.54487,0.67689,0.33558,1.774,1.47,2.09059,0.000778233,0.000778233,0.000778233
25,466.616,1.45712,1.63867,1.56372,0.68652,0.70554,0.77866,0.38388,1.66075,1.34568,1.92646,0.000749939,0.000749939,0.000749939
26,485.591,1.45765,1.54891,1.53507,0.74993,0.69309,0.77196,0.40511,1.73968,1.30764,2.01197,0.000721645,0.000721645,0.000721645
27,503.234,1.39603,1.52585,1.52985,0.72469,0.65201,0.72988,0.39858,1.60516,1.37522,1.89186,0.000693351,0.000693351,0.000693351
